host_since,host_location,host_is_superhost,host_identity_verified,host_has_profile_pic,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,number_of_reviews,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,instant_bookable,bathroom_type,has_license,has_terrace,has_wifi,pet_allowed,has_AC,has_kitchen
4938,spain,False,False,True,eixample,41.39705,2.17469,entire_home_apt,2,1.5,1.0,1.0,186.0,3.0,1125.0,True,6,18,82,106.0,4.23,4.47,4.45,4.61,4.56,4.14,0.51,True,1,True,True,True,True,True,True
4824,spain,True,True,True,gracia,41.40697,2.16106,entire_home_apt,3,1.0,1.0,0.0,201.0,3.0,150.0,True,2,4,260,76.0,4.7,4.72,4.62,4.74,4.84,4.62,1.72,False,1,True,True,True,False,True,True
4936,spain,False,True,True,ciutat_vella,41.38174,2.16663,entire_home_apt,4,1.5,4.0,5.0,70.0,28.0,730.0,True,0,13,10,66.0,3.88,3.43,4.0,3.86,4.14,4.0,0.06,False,1,False,True,True,False,True,True
4518,spain,True,True,True,gracia,41.40466,2.17147,entire_home_apt,5,1.0,2.0,4.0,142.0,3.0,90.0,True,0,4,61,62.0,4.84,4.92,4.84,4.89,4.93,4.62,0.41,False,1,True,False,True,False,True,True
4932,spain,False,True,True,sant_marti,41.39909,2.20733,entire_home_apt,3,1.0,1.0,2.0,371.0,1.0,28.0,True,21,50,822,59.0,4.73,4.77,4.75,4.79,4.79,4.51,6.87,False,1,True,False,True,False,True,True
4936,spain,False,True,True,ciutat_vella,41.38104,2.16565,entire_home_apt,2,1.0,2.0,0.0,70.0,28.0,1000.0,True,12,42,1,3631.0,5.0,4.0,5.0,5.0,4.0,4.0,0.01,False,1,False,True,True,False,False,True
4936,spain,False,True,True,ciutat_vella,41.38214,2.16568,entire_home_apt,2,1.5,1.0,1.0,70.0,28.0,365.0,True,14,44,7,3635.0,4.33,4.0,4.0,4.14,4.14,3.83,0.05,False,1,False,True,True,False,True,True
4578,spain,False,True,True,sants_montjuic,41.37195,2.16936,entire_home_apt,2,1.0,1.0,1.0,139.0,4.0,365.0,True,5,11,71,162.0,4.74,4.77,4.9,4.89,4.7,4.66,0.47,True,1,True,True,True,False,True,True
4918,spain,False,True,True,eixample,41.40399,2.17802,entire_home_apt,5,1.0,2.0,3.0,94.0,1.0,1125.0,True,30,60,46,227.0,4.16,4.33,3.96,4.56,4.8,4.24,0.29,False,1,True,True,True,True,True,True
4568,spain,True,True,True,ciutat_vella,41.37571,2.17118,private_room,2,2.0,1.0,1.0,21.0,31.0,90.0,True,23,24,54,80.0,4.52,4.69,4.82,4.62,4.52,4.63,0.37,True,1,False,True,True,False,True,True
4916,spain,False,True,True,sant_marti,41.40682,2.18649,entire_home_apt,6,1.0,3.0,4.0,182.0,3.0,330.0,True,2,2,98,54.0,4.44,4.35,4.88,4.91,4.77,4.32,0.65,False,1,True,True,True,False,True,True
4783,spain,False,True,True,sant_marti,41.38777,2.19601,entire_home_apt,4,2.0,2.0,2.0,220.0,31.0,365.0,True,0,0,17,3332.0,4.62,4.76,4.82,5.0,4.94,4.47,0.11,False,1,False,False,True,False,True,True
4801,other,False,True,True,eixample,41.38237,2.16146,private_room,2,1.0,1.0,0.0,93.0,3.0,365.0,True,15,27,126,69.0,4.39,4.72,4.49,4.72,4.83,4.31,0.79,False,0,False,False,True,False,False,False
4568,spain,True,True,True,eixample,41.39076,2.17503,entire_home_apt,3,1.5,1.0,3.0,160.0,6.0,1125.0,True,2,18,268,56.0,4.88,4.85,4.98,4.99,4.98,4.83,1.81,False,1,True,False,True,False,True,True
4870,spain,True,True,True,ciutat_vella,41.37861,2.16737,entire_home_apt,8,1.0,3.0,7.0,370.0,6.0,1000.0,True,4,8,25,87.0,4.72,4.52,4.88,4.92,4.8,4.44,0.18,True,1,True,True,True,False,True,True
4344,spain,True,True,True,eixample,41.39224,2.17806,entire_home_apt,3,1.0,1.0,1.0,194.0,1.0,365.0,True,11,31,375,52.0,4.79,4.82,4.91,4.91,4.93,4.72,2.44,True,1,True,False,True,True,True,True
